,prod_x_item_1,rem_x_item_1,rem_y_item_1,rem_y_item_2,rem_y_item_3,remarks
0,1,1,1,x,y,"zero behaviour of x at origin,no feedback,no feedback,"
1,1,1,1,x,x*y,"zero behaviour of x at origin,no feedback,no feedback,"
2,1,1,1,x,x^2,"zero behaviour of x at origin,no feedback,no feedback,"
3,1,1,1,x,y^2,"zero behaviour of x at origin,no feedback,no feedback,"
4,1,1,1,y,x*y,"zero behaviour of x at origin,no feedback,no feedback,"
5,1,1,1,y,x^2,"zero behaviour of x at origin,no feedback,no feedback,"
6,1,1,1,y,y^2,"zero behaviour of x at origin,not connected,not connected,"
7,1,1,1,x*y,x^2,"zero behaviour of x at origin,no feedback,no feedback,"
8,1,1,1,x*y,y^2,"zero behaviour of x at origin,no feedback,no feedback,"
9,1,1,1,x^2,y^2,"zero behaviour of x at origin,no feedback,no feedback,"
10,1,1,x,y,x*y,"zero behaviour of x at origin,no feedback,no feedback,"
11,1,1,x,y,x^2,"zero behaviour of x at origin,no feedback,no feedback,"
12,1,1,x,y,y^2,"zero behaviour of x at origin,no feedback,no feedback,"
13,1,1,x,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,no feedback,"
14,1,1,x,x*y,y^2,"zero behaviour of x at origin,no feedback,no feedback,"
15,1,1,x,x^2,y^2,"zero behaviour of x at origin,no feedback,no feedback,"
16,1,1,y,x*y,x^2,"zero behaviour of x at origin,no feedback,no feedback,"
17,1,1,y,x*y,y^2,"zero behaviour of x at origin,no feedback,no feedback,"
18,1,1,y,x^2,y^2,"zero behaviour of x at origin,no feedback,no feedback,"
19,1,1,x*y,x^2,y^2,"zero behaviour of x at origin,no feedback,no feedback,"
20,1,x,1,x,y,"no feedback,no feedback,"
21,1,x,1,x,x*y,"no feedback,no feedback,"
22,1,x,1,x,x^2,"no feedback,no feedback,"
23,1,x,1,x,y^2,"no feedback,no feedback,"
24,1,x,1,y,x*y,"no feedback,no feedback,"
25,1,x,1,y,x^2,"no feedback,no feedback,"
26,1,x,1,y,y^2,"not connected,not connected,"
27,1,x,1,x*y,x^2,"no feedback,no feedback,"
28,1,x,1,x*y,y^2,"no feedback,no feedback,"
29,1,x,1,x^2,y^2,"no feedback,no feedback,"
30,1,x,x,y,x*y,"no feedback,no feedback,"
31,1,x,x,y,x^2,"no feedback,no feedback,"
32,1,x,x,y,y^2,"no feedback,no feedback,"
33,1,x,x,x*y,x^2,"x=0 is a line of fixed points,no feedback,no feedback,"
34,1,x,x,x*y,y^2,"no feedback,no feedback,"
35,1,x,x,x^2,y^2,"no feedback,no feedback,"
36,1,x,y,x*y,x^2,"no feedback,no feedback,"
37,1,x,y,x*y,y^2,"no feedback,no feedback,"
38,1,x,y,x^2,y^2,"no feedback,no feedback,"
39,1,x,x*y,x^2,y^2,"no feedback,no feedback,"
40,1,y,1,x,y,"0 is not stable,"
41,1,y,1,x,x*y,"0 is not stable,"
42,1,y,1,x,x^2,"0 is not stable,"
43,1,y,1,x,y^2,"0 is not stable,"
44,1,y,1,y,x*y,"0 is not stable,"
45,1,y,1,y,x^2,"0 is not stable,"
46,1,y,1,y,y^2,"no feedback,no feedback,"
47,1,y,1,x*y,x^2,"0 is not stable,"
48,1,y,1,x*y,y^2,"0 is not stable,"
49,1,y,1,x^2,y^2,"0 is not stable,"
50,1,y,x,y,x*y,"0 is not stable,"
51,1,y,x,y,x^2,"0 is not stable,"
52,1,y,x,y,y^2,"0 is not stable,"
53,1,y,x,x*y,x^2,"x=0 is a line of fixed points,"
54,1,y,x,x*y,y^2,"0 is not stable,"
55,1,y,x,x^2,y^2,"0 is not stable,"
56,1,y,y,x*y,x^2,"0 is not stable,"
57,1,y,y,x*y,y^2,"0 is not stable,"
58,1,y,y,x^2,y^2,"0 is not stable,"
59,1,y,x*y,x^2,y^2,"0 is not stable,"
60,1,x*y,1,x,y,"0 is not stable,"
61,1,x*y,1,x,x*y,"0 is not stable,"
62,1,x*y,1,x,x^2,"0 is not stable,"
63,1,x*y,1,x,y^2,"0 is not stable,"
64,1,x*y,1,y,x*y,"0 is not stable,"
65,1,x*y,1,y,x^2,"0 is not stable,"
66,1,x*y,1,y,y^2,"no feedback,no feedback,"
67,1,x*y,1,x*y,x^2,"0 is not stable,"
68,1,x*y,1,x*y,y^2,"0 is not stable,"
69,1,x*y,1,x^2,y^2,"0 is not stable,"
70,1,x*y,x,y,x*y,"0 is not stable,"
71,1,x*y,x,y,x^2,"0 is not stable,"
72,1,x*y,x,y,y^2,"0 is not stable,"
73,1,x*y,x,x*y,x^2,"x=0 is a line of fixed points,"
74,1,x*y,x,x*y,y^2,"0 is not stable,"
75,1,x*y,x,x^2,y^2,"0 is not stable,"
76,1,x*y,y,x*y,x^2,"0 is not stable,"
77,1,x*y,y,x*y,y^2,"0 is not stable,"
78,1,x*y,y,x^2,y^2,"0 is not stable,"
79,1,x*y,x*y,x^2,y^2,"0 is not stable,"
80,1,x^2,1,x,y,"no feedback,no feedback,"
81,1,x^2,1,x,x*y,"no feedback,no feedback,"
82,1,x^2,1,x,x^2,"no feedback,no feedback,"
83,1,x^2,1,x,y^2,"no feedback,no feedback,"
84,1,x^2,1,y,x*y,"no feedback,no feedback,"
85,1,x^2,1,y,x^2,"no feedback,no feedback,"
86,1,x^2,1,y,y^2,"not connected,not connected,"
87,1,x^2,1,x*y,x^2,"no feedback,no feedback,"
88,1,x^2,1,x*y,y^2,"no feedback,no feedback,"
89,1,x^2,1,x^2,y^2,"no feedback,no feedback,"
90,1,x^2,x,y,x*y,"no feedback,no feedback,"
91,1,x^2,x,y,x^2,"no feedback,no feedback,"
92,1,x^2,x,y,y^2,"no feedback,no feedback,"
93,1,x^2,x,x*y,x^2,"x=0 is a line of fixed points,no feedback,no feedback,"
94,1,x^2,x,x*y,y^2,"no feedback,no feedback,"
95,1,x^2,x,x^2,y^2,"no feedback,no feedback,"
96,1,x^2,y,x*y,x^2,"no feedback,no feedback,"
97,1,x^2,y,x*y,y^2,"no feedback,no feedback,"
98,1,x^2,y,x^2,y^2,"no feedback,no feedback,"
99,1,x^2,x*y,x^2,y^2,"no feedback,no feedback,"
100,1,y^2,1,x,y,"0 is not stable,"
101,1,y^2,1,x,x*y,"0 is not stable,"
102,1,y^2,1,x,x^2,"0 is not stable,"
103,1,y^2,1,x,y^2,"0 is not stable,"
104,1,y^2,1,y,x*y,"0 is not stable,"
105,1,y^2,1,y,x^2,"0 is not stable,"
106,1,y^2,1,y,y^2,"no feedback,no feedback,"
107,1,y^2,1,x*y,x^2,"0 is not stable,"
108,1,y^2,1,x*y,y^2,"0 is not stable,"
109,1,y^2,1,x^2,y^2,"0 is not stable,"
110,1,y^2,x,y,x*y,"0 is not stable,"
111,1,y^2,x,y,x^2,"0 is not stable,"
112,1,y^2,x,y,y^2,"0 is not stable,"
113,1,y^2,x,x*y,x^2,"x=0 is a line of fixed points,"
114,1,y^2,x,x*y,y^2,"0 is not stable,"
115,1,y^2,x,x^2,y^2,"0 is not stable,"
116,1,y^2,y,x*y,x^2,"0 is not stable,"
117,1,y^2,y,x*y,y^2,"0 is not stable,"
118,1,y^2,y,x^2,y^2,"0 is not stable,"
119,1,y^2,x*y,x^2,y^2,"0 is not stable,"
120,x,1,1,x,y,"no feedback,no feedback,"
121,x,1,1,x,x*y,"no feedback,no feedback,"
122,x,1,1,x,x^2,"no feedback,no feedback,"
123,x,1,1,x,y^2,"no feedback,no feedback,"
124,x,1,1,y,x*y,"no feedback,no feedback,"
125,x,1,1,y,x^2,"no feedback,no feedback,"
126,x,1,1,y,y^2,"not connected,not connected,"
127,x,1,1,x*y,x^2,"no feedback,no feedback,"
128,x,1,1,x*y,y^2,"no feedback,no feedback,"
129,x,1,1,x^2,y^2,"no feedback,no feedback,"
130,x,1,x,y,x*y,"no feedback,no feedback,"
131,x,1,x,y,x^2,"no feedback,no feedback,"
132,x,1,x,y,y^2,"no feedback,no feedback,"
133,x,1,x,x*y,x^2,"x=0 is a line of fixed points,no feedback,no feedback,"
134,x,1,x,x*y,y^2,"no feedback,no feedback,"
135,x,1,x,x^2,y^2,"no feedback,no feedback,"
136,x,1,y,x*y,x^2,"no feedback,no feedback,"
137,x,1,y,x*y,y^2,"no feedback,no feedback,"
138,x,1,y,x^2,y^2,"no feedback,no feedback,"
139,x,1,x*y,x^2,y^2,"no feedback,no feedback,"
140,x,x,1,x,y,"zero behaviour of x at origin,no feedback,no feedback,"
141,x,x,1,x,x*y,"zero behaviour of x at origin,no feedback,no feedback,"
142,x,x,1,x,x^2,"zero behaviour of x at origin,no feedback,no feedback,"
143,x,x,1,x,y^2,"zero behaviour of x at origin,no feedback,no feedback,"
144,x,x,1,y,x*y,"zero behaviour of x at origin,no feedback,no feedback,"
145,x,x,1,y,x^2,"zero behaviour of x at origin,no feedback,no feedback,"
146,x,x,1,y,y^2,"zero behaviour of x at origin,not connected,not connected,"
147,x,x,1,x*y,x^2,"zero behaviour of x at origin,no feedback,no feedback,"
148,x,x,1,x*y,y^2,"zero behaviour of x at origin,no feedback,no feedback,"
149,x,x,1,x^2,y^2,"zero behaviour of x at origin,no feedback,no feedback,"
150,x,x,x,y,x*y,"zero behaviour of x at origin,no feedback,no feedback,"
151,x,x,x,y,x^2,"zero behaviour of x at origin,no feedback,no feedback,"
152,x,x,x,y,y^2,"zero behaviour of x at origin,no feedback,no feedback,"
153,x,x,x,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,no feedback,"
154,x,x,x,x*y,y^2,"zero behaviour of x at origin,no feedback,no feedback,"
155,x,x,x,x^2,y^2,"zero behaviour of x at origin,no feedback,no feedback,"
156,x,x,y,x*y,x^2,"zero behaviour of x at origin,no feedback,no feedback,"
157,x,x,y,x*y,y^2,"zero behaviour of x at origin,no feedback,no feedback,"
158,x,x,y,x^2,y^2,"zero behaviour of x at origin,no feedback,no feedback,"
159,x,x,x*y,x^2,y^2,"zero behaviour of x at origin,no feedback,no feedback,"
160,x,y,1,x,y,"0 is not stable,"
161,x,y,1,x,x*y,"0 is not stable,"
162,x,y,1,x,x^2,"0 is not stable,"
163,x,y,1,x,y^2,"0 is not stable,"
164,x,y,1,y,x*y,"0 is not stable,"
165,x,y,1,y,x^2,"0 is not stable,"
166,x,y,1,y,y^2,"no feedback,no feedback,0 is not stable,"
167,x,y,1,x*y,x^2,"0 is not stable,"
168,x,y,1,x*y,y^2,"0 is not stable,"
169,x,y,1,x^2,y^2,"0 is not stable,"
170,x,y,x,y,x*y,"0 is not stable,"
171,x,y,x,y,x^2,"0 is not stable,"
172,x,y,x,y,y^2,"0 is not stable,"
173,x,y,x,x*y,x^2,"x=0 is a line of fixed points,0 is not stable,"
174,x,y,x,x*y,y^2,"0 is not stable,"
175,x,y,x,x^2,y^2,"0 is not stable,"
176,x,y,y,x*y,x^2,"0 is not stable,"
177,x,y,y,x*y,y^2,"0 is not stable,"
178,x,y,y,x^2,y^2,"0 is not stable,"
179,x,y,x*y,x^2,y^2,"0 is not stable,"
180,x,x*y,1,x,y,"0 is not stable,"
181,x,x*y,1,x,x*y,"0 is not stable,"
182,x,x*y,1,x,x^2,"0 is not stable,"
183,x,x*y,1,x,y^2,"0 is not stable,"
184,x,x*y,1,y,x*y,"0 is not stable,"
185,x,x*y,1,y,x^2,"0 is not stable,"
186,x,x*y,1,y,y^2,"no feedback,no feedback,"
187,x,x*y,1,x*y,x^2,"0 is not stable,"
188,x,x*y,1,x*y,y^2,"0 is not stable,"
189,x,x*y,1,x^2,y^2,"0 is not stable,"
190,x,x*y,x,y,x*y,"0 is not stable,"
191,x,x*y,x,y,x^2,"0 is not stable,"
192,x,x*y,x,y,y^2,"0 is not stable,"
193,x,x*y,x,x*y,x^2,"x=0 is a line of fixed points,"
194,x,x*y,x,x*y,y^2,"0 is not stable,"
195,x,x*y,x,x^2,y^2,"0 is not stable,"
196,x,x*y,y,x*y,x^2,"0 is not stable,"
197,x,x*y,y,x*y,y^2,"0 is not stable,"
198,x,x*y,y,x^2,y^2,"0 is not stable,"
199,x,x*y,x*y,x^2,y^2,"0 is not stable,"
200,x,x^2,1,x,y,"no feedback,no feedback,"
201,x,x^2,1,x,x*y,"no feedback,no feedback,"
202,x,x^2,1,x,x^2,"no feedback,no feedback,"
203,x,x^2,1,x,y^2,"no feedback,no feedback,"
204,x,x^2,1,y,x*y,"no feedback,no feedback,"
205,x,x^2,1,y,x^2,"no feedback,no feedback,"
206,x,x^2,1,y,y^2,"not connected,not connected,"
207,x,x^2,1,x*y,x^2,"no feedback,no feedback,"
208,x,x^2,1,x*y,y^2,"no feedback,no feedback,"
209,x,x^2,1,x^2,y^2,"no feedback,no feedback,"
210,x,x^2,x,y,x*y,"no feedback,no feedback,"
211,x,x^2,x,y,x^2,"no feedback,no feedback,"
212,x,x^2,x,y,y^2,"no feedback,no feedback,"
213,x,x^2,x,x*y,x^2,"x=0 is a line of fixed points,no feedback,no feedback,"
214,x,x^2,x,x*y,y^2,"no feedback,no feedback,"
215,x,x^2,x,x^2,y^2,"no feedback,no feedback,"
216,x,x^2,y,x*y,x^2,"no feedback,no feedback,"
217,x,x^2,y,x*y,y^2,"no feedback,no feedback,"
218,x,x^2,y,x^2,y^2,"no feedback,no feedback,"
219,x,x^2,x*y,x^2,y^2,"no feedback,no feedback,"
220,x,y^2,1,x,y,"0 is not stable,"
221,x,y^2,1,x,x*y,"0 is not stable,"
222,x,y^2,1,x,x^2,"0 is not stable,"
223,x,y^2,1,x,y^2,"0 is not stable,"
224,x,y^2,1,y,x*y,"0 is not stable,"
225,x,y^2,1,y,x^2,"0 is not stable,"
226,x,y^2,1,y,y^2,"no feedback,no feedback,0 is not stable,"
227,x,y^2,1,x*y,x^2,"0 is not stable,"
228,x,y^2,1,x*y,y^2,"0 is not stable,"
229,x,y^2,1,x^2,y^2,"0 is not stable,"
230,x,y^2,x,y,x*y,"0 is not stable,"
231,x,y^2,x,y,x^2,"0 is not stable,"
232,x,y^2,x,y,y^2,"0 is not stable,"
233,x,y^2,x,x*y,x^2,"x=0 is a line of fixed points,0 is not stable,"
234,x,y^2,x,x*y,y^2,"0 is not stable,"
235,x,y^2,x,x^2,y^2,"0 is not stable,"
236,x,y^2,y,x*y,x^2,"0 is not stable,"
237,x,y^2,y,x*y,y^2,"0 is not stable,"
238,x,y^2,y,x^2,y^2,"0 is not stable,"
239,x,y^2,x*y,x^2,y^2,"0 is not stable,"
240,y,1,1,x,y,
241,y,1,1,x,x*y,
242,y,1,1,x,x^2,
243,y,1,1,x,y^2,
244,y,1,1,y,x*y,
245,y,1,1,y,x^2,
246,y,1,1,y,y^2,"no feedback,no feedback,"
247,y,1,1,x*y,x^2,
248,y,1,1,x*y,y^2,
249,y,1,1,x^2,y^2,
250,y,1,x,y,x*y,
251,y,1,x,y,x^2,
252,y,1,x,y,y^2,
253,y,1,x,x*y,x^2,"x=0 is a line of fixed points,"
254,y,1,x,x*y,y^2,
255,y,1,x,x^2,y^2,
256,y,1,y,x*y,x^2,
257,y,1,y,x*y,y^2,
258,y,1,y,x^2,y^2,
259,y,1,x*y,x^2,y^2,
260,y,x,1,x,y,"0 is not stable,"
261,y,x,1,x,x*y,"0 is not stable,"
262,y,x,1,x,x^2,"0 is not stable,"
263,y,x,1,x,y^2,"0 is not stable,"
264,y,x,1,y,x*y,"0 is not stable,"
265,y,x,1,y,x^2,"0 is not stable,"
266,y,x,1,y,y^2,"no feedback,no feedback,0 is not stable,"
267,y,x,1,x*y,x^2,"0 is not stable,"
268,y,x,1,x*y,y^2,"0 is not stable,"
269,y,x,1,x^2,y^2,"0 is not stable,"
270,y,x,x,y,x*y,"0 is not stable,"
271,y,x,x,y,x^2,"0 is not stable,"
272,y,x,x,y,y^2,"0 is not stable,"
273,y,x,x,x*y,x^2,"x=0 is a line of fixed points,0 is not stable,"
274,y,x,x,x*y,y^2,"0 is not stable,"
275,y,x,x,x^2,y^2,"0 is not stable,"
276,y,x,y,x*y,x^2,"0 is not stable,"
277,y,x,y,x*y,y^2,"0 is not stable,"
278,y,x,y,x^2,y^2,"0 is not stable,"
279,y,x,x*y,x^2,y^2,"0 is not stable,"
280,y,y,1,x,y,"zero behaviour of x at origin,y=0 is a line of fixed points,"
281,y,y,1,x,x*y,"zero behaviour of x at origin,y=0 is a line of fixed points,"
282,y,y,1,x,x^2,"zero behaviour of x at origin,y=0 is a line of fixed points,"
283,y,y,1,x,y^2,"zero behaviour of x at origin,y=0 is a line of fixed points,"
284,y,y,1,y,x*y,"zero behaviour of x at origin,y=0 is a line of fixed points,"
285,y,y,1,y,x^2,"zero behaviour of x at origin,y=0 is a line of fixed points,"
286,y,y,1,y,y^2,"zero behaviour of x at origin,y=0 is a line of fixed points,no feedback,no feedback,"
287,y,y,1,x*y,x^2,"zero behaviour of x at origin,y=0 is a line of fixed points,"
288,y,y,1,x*y,y^2,"zero behaviour of x at origin,y=0 is a line of fixed points,"
289,y,y,1,x^2,y^2,"zero behaviour of x at origin,y=0 is a line of fixed points,"
290,y,y,x,y,x*y,"zero behaviour of x at origin,y=0 is a line of fixed points,"
291,y,y,x,y,x^2,"zero behaviour of x at origin,y=0 is a line of fixed points,"
292,y,y,x,y,y^2,"zero behaviour of x at origin,y=0 is a line of fixed points,"
293,y,y,x,x*y,x^2,"zero behaviour of x at origin,y=0 is a line of fixed points,x=0 is a line of fixed points,"
294,y,y,x,x*y,y^2,"zero behaviour of x at origin,y=0 is a line of fixed points,"
295,y,y,x,x^2,y^2,"zero behaviour of x at origin,y=0 is a line of fixed points,"
296,y,y,y,x*y,x^2,"zero behaviour of x at origin,y=0 is a line of fixed points,"
297,y,y,y,x*y,y^2,"zero behaviour of x at origin,y=0 is a line of fixed points,"
298,y,y,y,x^2,y^2,"zero behaviour of x at origin,y=0 is a line of fixed points,"
299,y,y,x*y,x^2,y^2,"zero behaviour of x at origin,y=0 is a line of fixed points,"
300,y,x*y,1,x,y,"y=0 is a line of fixed points,"
301,y,x*y,1,x,x*y,"y=0 is a line of fixed points,"
302,y,x*y,1,x,x^2,"y=0 is a line of fixed points,"
303,y,x*y,1,x,y^2,"y=0 is a line of fixed points,"
304,y,x*y,1,y,x*y,"y=0 is a line of fixed points,"
305,y,x*y,1,y,x^2,"y=0 is a line of fixed points,"
306,y,x*y,1,y,y^2,"y=0 is a line of fixed points,no feedback,no feedback,"
307,y,x*y,1,x*y,x^2,"y=0 is a line of fixed points,"
308,y,x*y,1,x*y,y^2,"y=0 is a line of fixed points,"
309,y,x*y,1,x^2,y^2,"y=0 is a line of fixed points,"
310,y,x*y,x,y,x*y,"y=0 is a line of fixed points,"
311,y,x*y,x,y,x^2,"y=0 is a line of fixed points,"
312,y,x*y,x,y,y^2,"y=0 is a line of fixed points,"
313,y,x*y,x,x*y,x^2,"y=0 is a line of fixed points,x=0 is a line of fixed points,"
314,y,x*y,x,x*y,y^2,"y=0 is a line of fixed points,"
315,y,x*y,x,x^2,y^2,"y=0 is a line of fixed points,"
316,y,x*y,y,x*y,x^2,"y=0 is a line of fixed points,"
317,y,x*y,y,x*y,y^2,"y=0 is a line of fixed points,"
318,y,x*y,y,x^2,y^2,"y=0 is a line of fixed points,"
319,y,x*y,x*y,x^2,y^2,"y=0 is a line of fixed points,"
320,y,x^2,1,x,y,"0 is not stable,"
321,y,x^2,1,x,x*y,"0 is not stable,"
322,y,x^2,1,x,x^2,"0 is not stable,"
323,y,x^2,1,x,y^2,"0 is not stable,"
324,y,x^2,1,y,x*y,"0 is not stable,"
325,y,x^2,1,y,x^2,"0 is not stable,"
326,y,x^2,1,y,y^2,"no feedback,no feedback,0 is not stable,"
327,y,x^2,1,x*y,x^2,"0 is not stable,"
328,y,x^2,1,x*y,y^2,"0 is not stable,"
329,y,x^2,1,x^2,y^2,"0 is not stable,"
330,y,x^2,x,y,x*y,"0 is not stable,"
331,y,x^2,x,y,x^2,"0 is not stable,"
332,y,x^2,x,y,y^2,"0 is not stable,"
333,y,x^2,x,x*y,x^2,"x=0 is a line of fixed points,0 is not stable,"
334,y,x^2,x,x*y,y^2,"0 is not stable,"
335,y,x^2,x,x^2,y^2,"0 is not stable,"
336,y,x^2,y,x*y,x^2,"0 is not stable,"
337,y,x^2,y,x*y,y^2,"0 is not stable,"
338,y,x^2,y,x^2,y^2,"0 is not stable,"
339,y,x^2,x*y,x^2,y^2,"0 is not stable,"
340,y,y^2,1,x,y,"y=0 is a line of fixed points,"
341,y,y^2,1,x,x*y,"y=0 is a line of fixed points,"
342,y,y^2,1,x,x^2,"y=0 is a line of fixed points,"
343,y,y^2,1,x,y^2,"y=0 is a line of fixed points,"
344,y,y^2,1,y,x*y,"y=0 is a line of fixed points,"
345,y,y^2,1,y,x^2,"y=0 is a line of fixed points,"
346,y,y^2,1,y,y^2,"y=0 is a line of fixed points,no feedback,no feedback,"
347,y,y^2,1,x*y,x^2,"y=0 is a line of fixed points,"
348,y,y^2,1,x*y,y^2,"y=0 is a line of fixed points,"
349,y,y^2,1,x^2,y^2,"y=0 is a line of fixed points,"
350,y,y^2,x,y,x*y,"y=0 is a line of fixed points,"
351,y,y^2,x,y,x^2,"y=0 is a line of fixed points,"
352,y,y^2,x,y,y^2,"y=0 is a line of fixed points,"
353,y,y^2,x,x*y,x^2,"y=0 is a line of fixed points,x=0 is a line of fixed points,"
354,y,y^2,x,x*y,y^2,"y=0 is a line of fixed points,"
355,y,y^2,x,x^2,y^2,"y=0 is a line of fixed points,"
356,y,y^2,y,x*y,x^2,"y=0 is a line of fixed points,"
357,y,y^2,y,x*y,y^2,"y=0 is a line of fixed points,"
358,y,y^2,y,x^2,y^2,"y=0 is a line of fixed points,"
359,y,y^2,x*y,x^2,y^2,"y=0 is a line of fixed points,"
